"region","deaths.1000.live.births","years","deaths.100000.live.births"
"Africa",40.5018518518519,67.0685185185185,292.12962962963
"Australia and Oceania",15.15,75.4928571428571,94.7142857142857
"Central America and the Caribbean",13.1857142857143,76.5428571428571,69.2380952380952
"Central Asia",17.6666666666667,73.8222222222222,18.1111111111111
"East and Southeast Asia",16.7352941176471,75.5823529411765,77.6470588235294
"Europe",4.32857142857143,80.1238095238095,7
"Middle East",13.61875,77.1625,22.9375
"North America",7.16666666666667,79.9,23.6666666666667
"South America",14.9,75.325,73.3333333333333
"South Asia",36.4375,71.125,138.75
